season,league,team,player,player_id,fantasy_position,mins,matches,raw_score,bonus_score,full_score,goals,assists,clean_sheets,yellows,reds,own_goals,key_passes,xG_buildup,team_final_scored,team_final_conceded,raw_bonus,avg_bonus_rank,raw_score_p_90,bonus_score_p_90,full_score_p_90,goals_p_90,assists_p_90,clean_sheets_p_90,yellows_p_90,reds_p_90,own_goals_p_90,key_passes_p_90,xG_buildup_p_90,team_final_scored_p_90,team_final_conceded_p_90,raw_bonus_p_90,raw_score_p_match,bonus_score_p_match,full_score_p_match,goals_p_match,assists_p_match,clean_sheets_p_match,yellows_p_match,reds_p_match,own_goals_p_match,key_passes_p_match,xG_buildup_p_match,team_final_scored_p_match,team_final_conceded_p_match,raw_bonus_p_match
2014-15,Bundesliga,Dortmund,Milos Jojić,144,MID,512,10,12,0,12,0,0,0,3,0,0,5,1.933,14,18,61,17.7,2.109,0,2.109,0,0,0,0.527,0,0,0.879,0.34,2.461,3.164,10.723,1.2,0,1.2,0,0,0,0.3,0,0,0.5,0.193,1.4,1.8,6.1
2014-15,Bundesliga,Dortmund,Mitchell Langerak,2628,GK,810,9,26,3,29,0,0,3,0,0,0,0,1.149,10,10,99,13.944,2.889,0.333,3.222,0,0,0.333,0,0,0,0,0.128,1.111,1.111,11,2.889,0.333,3.222,0,0,0.333,0,0,0,0,0.128,1.111,1.111,11
2014-15,Bundesliga,Dortmund,Neven Subotić,312,DEF,2272,28,69,6,75,2,0,7,9,0,0,11,7.489,41,35,285,14.214,2.733,0.238,2.971,0.079,0,0.277,0.357,0,0,0.436,0.297,1.624,1.386,11.29,2.464,0.214,2.679,0.071,0,0.25,0.321,0,0,0.393,0.267,1.464,1.25,10.179
2014-15,Bundesliga,Dortmund,Nuri Sahin,2642,MID,544,7,21,3,24,1,0,3,0,0,0,7,2.188,13,6,85,12.643,3.474,0.496,3.971,0.165,0,0.496,0,0,0,1.158,0.362,2.151,0.993,14.062,3,0.429,3.429,0.143,0,0.429,0,0,0,1,0.313,1.857,0.857,12.143
2014-15,Bundesliga,Dortmund,Oliver Kirch,4294,DEF,433,6,22,2,24,0,1,3,0,0,0,6,1.817,9,6,92,8.583,4.573,0.416,4.988,0,0.208,0.624,0,0,0,1.247,0.378,1.871,1.247,19.122,3.667,0.333,4,0,0.167,0.5,0,0,0,1,0.303,1.5,1,15.333
2014-15,Bundesliga,Dortmund,P.-E. Aubameyang,318,FWD,2724,33,142,23,165,16,6,9,4,0,0,46,2.513,47,42,581,9,4.692,0.76,5.452,0.529,0.198,0.297,0.132,0,0,1.52,0.083,1.553,1.388,19.196,4.303,0.697,5,0.485,0.182,0.273,0.121,0,0,1.394,0.076,1.424,1.273,17.606
2014-15,Bundesliga,Dortmund,Roman Weidenfeller,325,GK,2250,25,65,13,78,0,0,7,0,0,0,0,1.171,37,32,227,15.58,2.6,0.52,3.12,0,0,0.28,0,0,0,0,0.047,1.48,1.28,9.08,2.6,0.52,3.12,0,0,0.28,0,0,0,0,0.047,1.48,1.28,9.08
2014-15,Bundesliga,Dortmund,Sebastian Kehl,4239,MID,1696,21,43,1,44,0,1,4,3,0,0,13,5.174,29,29,181,14.524,2.282,0.053,2.335,0,0.053,0.212,0.159,0,0,0.69,0.275,1.539,1.539,9.605,2.048,0.048,2.095,0,0.048,0.19,0.143,0,0,0.619,0.246,1.381,1.381,8.619
2014-15,Bundesliga,Dortmund,Shinji Kagawa,321,MID,1883,28,94,8,102,5,5,7,2,0,0,49,7.453,41,35,387,11,4.493,0.382,4.875,0.239,0.239,0.335,0.096,0,0,2.342,0.356,1.96,1.673,18.497,3.357,0.286,3.643,0.179,0.179,0.25,0.071,0,0,1.75,0.266,1.464,1.25,13.821
2014-15,Bundesliga,Dortmund,Sokratis,371,DEF,1726,21,44,0,44,1,0,4,6,0,0,7,5.331,29,30,188,15.024,2.294,0,2.294,0.052,0,0.209,0.313,0,0,0.365,0.278,1.512,1.564,9.803,2.095,0,2.095,0.048,0,0.19,0.286,0,0,0.333,0.254,1.381,1.429,8.952
